Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex
11,68,0,0,n,2773,1,21,M
11,69,50,0,n,1333,1,21,M
11,70,50,1,b,1726,1,21,M
11,71,100,1,b,2380,1,21,M
11,72,100,0,n,5672,1,21,M
11,73,100,1,b,2970,1,21,M
11,74,100,0,n,3307,1,21,M
11,75,150,1,n,6274,0,21,M
11,76,0,0,n,2292,1,21,M
11,77,0,1,b,2073,1,21,M
11,78,50,1,b,1528,1,21,M
11,79,50,0,n,1692,1,21,M
11,80,150,0,n,6458,1,21,M
11,81,50,0,n,6253,1,21,M
11,82,0,1,b,950,1,21,M
11,83,150,0,n,2869,1,21,M
11,84,50,1,b,2005,1,21,M
11,85,100,1,b,3645,1,21,M
11,86,0,0,n,2607,1,21,M
11,87,150,1,n,3211,0,21,M
11,89,100,0,n,4031,1,21,M
11,90,50,1,b,1671,1,21,M
11,91,0,1,b,1404,1,21,M
11,92,150,1,n,2720,0,21,M
11,93,150,0,n,2620,1,21,M
11,94,50,0,n,2134,1,21,M
11,95,100,1,b,2399,1,21,M
11,96,0,0,n,2129,1,21,M
42,1,0,0,n,2205,1,28,M
42,2,150,0,n,2270,1,28,M
42,3,150,1,b,1757,1,28,M
42,4,100,1,b,3663,1,28,M
42,5,50,1,b,2197,1,28,M
42,6,50,0,n,1583,1,28,M
42,7,100,0,b,1901,0,28,M
42,8,0,1,b,2395,1,28,M
42,9,150,0,n,7257,1,28,M
42,10,150,1,b,3722,1,28,M
42,11,50,0,n,1965,1,28,M
42,12,0,0,n,2003,1,28,M
42,13,0,1,b,1649,1,28,M
42,14,100,0,n,2686,1,28,M
42,15,100,1,n,2611,0,28,M
42,16,50,1,n,4375,0,28,M
42,17,100,0,n,2444,1,28,M
42,18,150,1,n,4074,0,28,M
42,19,50,0,n,3211,1,28,M
42,20,50,1,b,1575,1,28,M
42,21,100,0,n,1953,1,28,M
42,22,0,0,n,2588,1,28,M
42,23,0,1,b,4327,1,28,M
42,24,150,0,n,2922,1,28,M
42,25,150,0,n,4404,1,28,M
42,26,50,0,n,2038,1,28,M
42,27,50,1,b,2104,1,28,M
42,28,100,1,b,3422,1,28,M
42,29,0,1,b,1448,1,28,M
42,30,0,0,n,2359,1,28,M
42,31,150,1,b,4509,1,28,M
42,32,100,0,n,4421,1,28,M
42,33,50,1,b,1469,1,28,M
42,34,100,1,b,3887,1,28,M
42,35,150,1,b,6079,1,28,M
42,36,0,0,n,1421,1,28,M
42,37,100,1,b,4345,1,28,M
42,38,150,0,n,3924,1,28,M
42,39,0,1,b,2386,1,28,M
42,40,50,0,n,1192,1,28,M
42,41,150,1,b,3168,1,28,M
42,42,0,0,n,1885,1,28,M
42,43,100,1,b,3126,1,28,M
42,44,150,0,n,2528,1,28,M
42,45,50,0,n,1417,1,28,M
42,46,100,0,n,2253,1,28,M
42,47,0,1,b,1444,1,28,M
42,48,50,1,b,2868,1,28,M
42,49,100,0,n,1499,1,28,M
42,50,150,0,n,1766,1,28,M
42,51,0,1,b,1450,1,28,M
42,52,0,0,n,1538,1,28,M
42,53,100,1,b,3575,1,28,M
42,54,50,0,n,1074,1,28,M
42,55,150,1,b,3933,1,28,M
42,56,50,1,b,1537,1,28,M
42,57,150,0,n,1215,1,28,M
42,58,100,0,n,5474,1,28,M
42,59,150,1,b,2103,1,28,M
42,60,100,1,b,2622,1,28,M
42,61,0,1,b,1269,1,28,M
42,62,0,0,n,1910,1,28,M
42,63,50,0,n,2203,1,28,M
42,64,50,1,b,2095,1,28,M
42,65,150,0,n,1774,1,28,M
42,66,0,1,b,1585,1,28,M
42,67,150,1,b,3076,1,28,M
42,68,0,0,n,1570,1,28,M
42,69,50,0,n,1990,1,28,M
42,70,50,1,b,1570,1,28,M
42,71,100,1,b,2271,1,28,M
42,72,100,0,n,5183,1,28,M
42,73,100,1,b,2283,1,28,M
42,74,100,0,n,2056,1,28,M
42,75,150,1,b,4546,1,28,M
42,76,0,0,n,2784,1,28,M
42,77,0,1,b,4371,1,28,M
42,78,50,1,n,6574,0,28,M
42,79,50,0,n,1258,1,28,M
42,80,150,0,n,4483,1,28,M
42,81,50,0,n,3224,1,28,M
42,82,0,1,b,1155,1,28,M
42,83,150,0,n,1474,1,28,M
42,84,50,1,b,2201,1,28,M
42,85,100,1,b,1460,1,28,M
42,86,0,0,n,1754,1,28,M
42,87,150,1,n,1561,0,28,M
42,88,100,0,n,2044,1,28,M
42,89,100,0,n,1741,1,28,M
42,90,50,1,b,2361,1,28,M
42,91,0,1,b,1173,1,28,M
42,92,150,1,b,2900,1,28,M
42,93,150,0,n,4222,1,28,M
42,94,50,0,n,1560,1,28,M
42,95,100,1,b,1847,1,28,M
42,96,0,0,n,5854,1,28,M
32,1,0,0,n,6150,1,24,F
32,2,150,0,n,4895,1,24,F
32,3,150,1,b,2134,1,24,F
32,4,100,1,b,4117,1,24,F
32,5,50,1,b,3010,1,24,F
32,6,50,0,n,4412,1,24,F
32,8,0,1,b,1782,1,24,F
32,9,150,0,n,3708,1,24,F
32,10,150,1,b,3272,1,24,F
32,11,50,0,n,3692,1,24,F
32,12,0,0,n,2915,1,24,F
32,13,0,1,b,1470,1,24,F
32,14,100,0,n,2417,1,24,F
32,15,100,1,b,4307,1,24,F
32,16,50,1,b,2744,1,24,F
32,17,100,0,n,3646,1,24,F
32,18,150,1,b,2289,1,24,F
32,19,50,0,n,2609,1,24,F
32,20,50,1,b,1947,1,24,F
32,21,100,0,n,3525,1,24,F
32,22,0,0,n,1747,1,24,F
32,23,0,1,b,2135,1,24,F
32,24,150,0,n,2745,1,24,F
32,25,150,0,n,4276,1,24,F
32,26,50,0,n,2154,1,24,F
32,27,50,1,b,1736,1,24,F
32,28,100,1,b,3319,1,24,F
32,29,0,1,b,1588,1,24,F
32,30,0,0,n,2327,1,24,F
32,31,150,1,n,2682,0,24,F
32,32,100,0,n,2687,1,24,F
